theme,positive_mentions,negative_mentions,platform,year_range
Documentation / Knowledge sharing,2,21,Blind+Glassdoor+Taro+Indeed,2022-2025
Management quality,5,34,Blind+Glassdoor+Taro+Indeed,2022-2025
Work-life balance,28,3,Blind+Glassdoor,2022-2025
Smart colleagues,24,1,Blind+Glassdoor,2022-2025
Career growth,4,25,Blind+Glassdoor+Indeed,2022-2025
Onboarding feedback loop,3,22,Glassdoor+Taro+Indeed,2022-2025
Tribal knowledge,1,16,Blind+Glassdoor,2022-2025
Custom in-house tech stack,3,18,Blind+Glassdoor+Taro,2023-2025
Autonomy & ownership,21,4,Blind+Glassdoor,2024-2025
Compensation,12,9,Blind,2024-2025
Pick up the phone culture,9,11,Blind+Glassdoor,2022-2025
Culture deterioration (startup→corp),1,9,Taro+Indeed+Glassdoor,2024-2025
AI tools / internal tooling,3,7,Blind+Glassdoor,2024-2025
